Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
DUDU e CAROL,21600000,9597894786.0,2942,Autos & Vehicles,Brazil,BR,48300.0,772700.0,579500.0,9300000.0,51.3,12.08,212559417.0,183241641.0,2013.0,4939750.0,410500.0
Village Cooking Channel,21600000,5863377051.0,219,Howto & Style,India,IN,48700.0,778400.0,583800.0,9300000.0,28.1,5.36,1366417754.0,471031528.0,2018.0,4941900.0,413550.0
Eva Bravo Play,21600000,9346383505.0,228,Entertainment,United States,US,16000.0,255700.0,191800.0,3100000.0,88.2,14.7,328239523.0,270663028.0,2019.0,1645900.0,135850.0
Tekashi 6ix9ine,21500000,5890180734.0,51,People & Blogs,United States,US,28400.0,454200.0,340600.0,5400000.0,88.2,14.7,328239523.0,270663028.0,2018.0,2870300.0,241300.0
Tlnovelas,21500000,15013096899.0,158,News & Politics,Mexico,MX,4.0,62.0,46.0,742.0,40.2,3.42,126014024.0,102626859.0,2014.0,394.0,33.0
invictor,21500000,8409641722.0,17,Gaming,Chile,CL,0.01,0.2,0.15,2.0,88.5,7.09,18952038.0,16610135.0,2016.0,1.075,0.10500000000000001
YOLO,21400000,1573058816.0,0,Comedy,Germany,DE,0.0,0.0,0.0,0.0,70.2,3.04,83132799.0,64324835.0,2013.0,0.0,0.0
Sidhu Moose Wala,21400000,6264261757.0,114,Music,India,IN,40200.0,642800.0,482100.0,7700000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,4091050.0,341500.0
The Royalty Family,21300000,6269945014.0,733,People & Blogs,United States,US,40100.0,640900.0,480700.0,7700000.0,88.2,14.7,328239523.0,270663028.0,2017.0,4090350.0,340500.0
Becky G,21300000,10644857969.0,78,Music,United States,US,25800.0,412700.0,309500.0,5000000.0,88.2,14.7,328239523.0,270663028.0,2011.0,2654750.0,219250.0
Ishaan Ali 11,21300000,12761253839.0,951,People & Blogs,India,IN,182400.0,2900000.0,2200000.0,35000000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,18600000.0,1541200.0
Infinite,21300000,5141834668.0,1608,Entertainment,United States,US,17100.0,273400.0,205100.0,3300000.0,88.2,14.7,328239523.0,270663028.0,2014.0,1752550.0,145250.0
Azhan5star,21300000,10047736580.0,669,Entertainment,India,IN,59100.0,945200.0,708900.0,11300000.0,28.1,5.36,1366417754.0,471031528.0,2021.0,6004450.0,502150.0
Dangal TV Channel,21300000,12895427184.0,20225,Entertainment,India,IN,140300.0,2200000.0,1700000.0,26900000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,14300000.0,1170150.0
GMA Public  Affairs,21200000,11364908616.0,31989,Entertainment,Philippines,PH,35600.0,569300.0,427000.0,6800000.0,35.5,2.15,108116615.0,50975903.0,2009.0,3613500.0,302450.0
Tasty,21100000,5783557209.0,4728,Howto & Style,United States,US,6200.0,98800.0,74100.0,1200000.0,88.2,14.7,328239523.0,270663028.0,2016.0,637050.0,52500.0
Baim Paula,21100000,4526271677.0,2325,People & Blogs,Indonesia,ID,6700.0,107900.0,80900.0,1300000.0,36.3,4.69,270203917.0,151509724.0,2016.0,690450.0,57300.0
nigahiga,21000000,4380564906.0,403,Entertainment,United States,US,619.0,9900.0,7400.0,118900.0,88.2,14.7,328239523.0,270663028.0,2006.0,63150.0,5259.5
Rafa & Luiz,21000000,7762905663.0,2883,Entertainment,Brazil,BR,29600.0,473600.0,355200.0,5700000.0,51.3,12.08,212559417.0,183241641.0,2015.0,3027600.0,251600.0
Lyrical Lemonade,21000000,10631638628.0,420,Entertainment,United States,US,20000.0,320200.0,240200.0,3800000.0,88.2,14.7,328239523.0,270663028.0,2013.0,2020100.0,170100.0
Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479.0,896,Education,India,IN,7100.0,114400.0,85800.0,1400000.0,28.1,5.36,1366417754.0,471031528.0,2013.0,742900.0,60750.0
Fatos Desconhecidos,20900000,3828000587.0,6262,Entertainment,Brazil,BR,13100.0,209300.0,157000.0,2500000.0,51.3,12.08,212559417.0,183241641.0,2013.0,1328500.0,111200.0
Brave Wilderness,20900000,4927879069.0,982,Pets & Animals,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2014.0,0.0,0.0
LIV Crime,20900000,11058049885.0,9850,People & Blogs,United States,US,95900.0,1500000.0,1200000.0,18400000.0,88.2,14.7,328239523.0,270663028.0,2020.0,9800000.0,797950.0
Romeo Santos,20900000,17324976752.0,6,Music,United States,US,0.02,0.4,0.3,5.0,88.2,14.7,328239523.0,270663028.0,2006.0,2.65,0.21000000000000002
Canal Canalha,20800000,1870608170.0,288,Comedy,Brazil,BR,6000.0,95600.0,71700.0,1100000.0,51.3,12.08,212559417.0,183241641.0,2011.0,585850.0,50800.0
Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,2378448129.0,193,Education,Germany,DE,7300.0,117100.0,87800.0,1400000.0,70.2,3.04,83132799.0,64324835.0,2013.0,743900.0,62200.0
Yoeslan,20700000,17963202261.0,619,Entertainment,United States,US,218700.0,3500000.0,2600000.0,42000000.0,88.2,14.7,328239523.0,270663028.0,2020.0,22300000.0,1859350.0
5-Minute Crafts DIY,20700000,5091618606.0,5062,Howto & Style,United States,US,5000.0,80000.0,60000.0,960600.0,88.2,14.7,328239523.0,270663028.0,2018.0,510300.0,42500.0
tuzelity SHUFFLE,20700000,8658941531.0,889,People & Blogs,Russia,RU,138100.0,2200000.0,1700000.0,26500000.0,81.9,4.59,144373535.0,107683889.0,2015.0,14100000.0,1169050.0
NBA,20700000,12624879732.0,47926,Sports,United States,US,18300.0,292100.0,219100.0,3500000.0,88.2,14.7,328239523.0,270663028.0,2005.0,1859550.0,155200.0
Deddy Corbuzier,20600000,4956090094.0,15,Entertainment,Indonesia,ID,0.02,0.34,0.26,4.0,36.3,4.69,270203917.0,151509724.0,2007.0,2.13,0.18000000000000002
Bizarrap,20600000,7657171980.0,83,Comedy,Argentina,AR,48300.0,772700.0,579500.0,9300000.0,90.0,9.79,44938712.0,41339571.0,2017.0,4939750.0,410500.0
